"filename", "language", "JavaScript", "Markdown", "JSON", "TypeScript", "XML", "TypeScript JSX", "CSS", "JSON with Comments", "HTML", "comment", "blank", "total"
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\server\src\logic\getDecodedString.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\server\src\logic\getFileContentRequest.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 25
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\server\src\logic\getGithubFolders&Files.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\server\src\logic\getGithubInsideFoldersAndFiles.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\server\src\logic\getGithubUrls.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\server\src\models\projectModel.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\server\src\models\userModel.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\server\src\routes\adminRoutes.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\server\src\routes\authRoutes.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\server\src\routes\fileRoutes.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\server\src\routes\projectsRoutes.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\server\src\token\getUserAfterTokens.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\server\src\token\protectedRoute.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\server\src\utils\mongoUtil.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 46
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\API\addFeedBackAndEditsRequest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 2, 25
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\API\addNotificationRequest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 2, 32
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\API\addProjectRequest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 3, 32
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\API\deleteProjectRequest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\API\getAllProjectsRequest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 3, 38
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\API\getCompletedProjectsRequest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 3, 38
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\API\getFileContentRequest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 5, 44
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\API\getGitHubProjectForReviewingRequest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 4, 43
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\API\getGitHubProjectInternalForReviewingRequest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 4, 42
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\API\getProjectsByTagRequest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 3, 30
"c:\Users\Mohammad\Desktop\Apple_Seeds_Tasks\Mid-Project\RevOps\src\API\getProjectsToDoRequest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 3, 38
